Monitor[clean-up-monitor] started
Failed to get deployment:  deployments.apps "throughput.test" not found
Monitor[clean-up-monitor] is exiting since stop trigger works
Monitor[clean-up-monitor] exited
All related pods are cleaned up
Starting throughput.test via scheduler yunikorn
Build KubeDeployment: {groupName:kubetest-group schedulerName:yunikorn queuePath:root.sandbox appName:throughput.test podNum:50000 resourceCPURequest:10m resourceMemRequest:10Mi resourceCPULimit:20m resourceMemLimit:20Mi}
Creating deployment...
Created deployment "throughput.test".
Monitor[throughput.test create-monitor] started
Distribution of pod start times: [120 493 556 945 1125 1485 1522 2000 2233 2502 2906 3018 3352 3670 4003 4427 4619 5074 5503 5788 6360 6588 7000 7391 7760 8097 8623 9098 9195 9539 9918 10270 10688 10898 11431 11815 12149 12375 12378 12675 13115 13359 13760 14166 14646 15001 15305 15778 16107 16451 16878 17166 17570 18003 18216 18710 19054 19460 19820 20162 20278 20642 21004 21461 21744 22169 22538 22864 22993 23313 23389 23703 24123 24492 24839 25074 25362 25626 25753 25895 25972 26103 26361 26477 26735 26939 27124 27289 27476 27725 27834 27971 28145 28265 28449 28595 28740 28846 28904 29055 29175 29248 29336 29342 29343 29461 29661 29683 29791 29897 30016 30020 30092 30205 30253 30314 30369 30483 30547 30658 30717 30732 30811 30822 30885 30941 31017 31053 31199 31202 31206 31206 31206 31207 31208 31221 31271 31323 31377 31443 31860 31994 32054 32134 32216 32302 32378 32458 32542 32623 32697 32783 32866 32932 32990 33066 33163 33250 33289 33335 33350 33446 33557 33614 33670 33670 33879 33933 34290 34399 34509 34604 34696 34780 34862 34963 35052 35143 35247 35344 35414 35503 35605 35710 35808 35902 36002 36101 36196 36299 36400 36501 36584 36694 36796 36901 36999 37088 37180 37277 37375 37488 37590 37701 37811 37920 38022 38146 38257 38364 38471 38562 38650 38752 38867 38985 39100 39218 39338 39454 39576 39686 39804 39897 40059 40179 40290 40372 40525 40644 40772 40876 41006 41128 41255 41388 41519 41652 41785 41907 42020 42153 42288 42427 42563 42703 42850 42995 43129 43277 43428 43562 43681 43803 43915 44104 44261 44421 44567 44725 44884 45016 45185 45335 45481 45648 45812 45987 46167 46325 46520 46681 46855 47044 47187 47380 47585 47734 47986 48147 48358 48538 48713 48933 49079 49310 49531 49744 49947 50000], seconds: 290 beginTime: 2021-10-23 12:23:35 +0800 CST, endTime: 2021-10-23 12:28:26.150443776 +0800 CST m=+292.307936027 
Deleted deployment.
Monitor[clean-up-monitor] started
12:28:34 desired/created/ready replicas: 50000/49980/49980 
12:28:35 desired/created/ready replicas: 50000/49920/49920 
12:28:36 desired/created/ready replicas: 50000/49860/49860 
12:28:37 desired/created/ready replicas: 50000/49800/49800 
12:28:38 desired/created/ready replicas: 50000/49720/49720 
12:28:39 desired/created/ready replicas: 50000/49641/49641 
12:28:40 desired/created/ready replicas: 50000/49597/49597 
12:28:41 desired/created/ready replicas: 50000/49539/49539 
12:28:42 desired/created/ready replicas: 50000/49468/49468 
12:28:43 desired/created/ready replicas: 50000/49417/49417 
12:28:44 desired/created/ready replicas: 50000/49337/49337 
12:28:45 desired/created/ready replicas: 50000/49297/49297 
12:28:46 desired/created/ready replicas: 50000/49242/49242 
12:28:47 desired/created/ready replicas: 50000/49157/49157 
12:28:48 desired/created/ready replicas: 50000/49097/49097 
12:28:49 desired/created/ready replicas: 50000/49057/49057 
12:28:50 desired/created/ready replicas: 50000/48992/48992 
12:28:51 desired/created/ready replicas: 50000/48908/48908 
12:28:52 desired/created/ready replicas: 50000/48837/48837 
12:28:53 desired/created/ready replicas: 50000/48805/48805 
12:28:54 desired/created/ready replicas: 50000/48736/48736 
12:28:55 desired/created/ready replicas: 50000/48672/48672 
12:28:56 desired/created/ready replicas: 50000/48605/48605 
12:28:57 desired/created/ready replicas: 50000/48543/48543 
12:28:58 desired/created/ready replicas: 50000/48494/48494 
12:28:59 desired/created/ready replicas: 50000/48433/48433 
12:29:0 desired/created/ready replicas: 50000/48344/48344 
12:29:1 desired/created/ready replicas: 50000/48294/48294 
12:29:2 desired/created/ready replicas: 50000/48224/48224 
12:29:3 desired/created/ready replicas: 50000/48184/48184 
12:29:4 desired/created/ready replicas: 50000/48154/48154 
12:29:5 desired/created/ready replicas: 50000/48064/48064 
12:29:6 desired/created/ready replicas: 50000/47995/47995 
12:29:7 desired/created/ready replicas: 50000/47914/47914 
12:29:8 desired/created/ready replicas: 50000/47840/47840 
12:29:9 desired/created/ready replicas: 50000/47780/47780 
12:29:10 desired/created/ready replicas: 50000/47720/47720 
12:29:11 desired/created/ready replicas: 50000/47655/47655 
12:29:12 desired/created/ready replicas: 50000/47615/47615 
12:29:13 desired/created/ready replicas: 50000/47539/47539 
12:29:14 desired/created/ready replicas: 50000/47465/47465 
12:29:15 desired/created/ready replicas: 50000/47402/47402 
12:29:16 desired/created/ready replicas: 50000/47354/47354 
12:29:17 desired/created/ready replicas: 50000/47275/47275 
12:29:18 desired/created/ready replicas: 50000/47215/47215 
12:29:19 desired/created/ready replicas: 50000/47132/47132 
12:29:20 desired/created/ready replicas: 50000/47084/47084 
12:29:21 desired/created/ready replicas: 50000/47021/47021 
12:29:22 desired/created/ready replicas: 50000/46922/46922 
12:29:23 desired/created/ready replicas: 50000/46884/46884 
12:29:24 desired/created/ready replicas: 50000/46819/46819 
12:29:25 desired/created/ready replicas: 50000/46762/46762 
12:29:26 desired/created/ready replicas: 50000/46702/46702 
12:29:27 desired/created/ready replicas: 50000/46637/46637 
12:29:28 desired/created/ready replicas: 50000/46579/46579 
12:29:29 desired/created/ready replicas: 50000/46515/46515 
12:29:30 desired/created/ready replicas: 50000/46428/46428 
12:29:31 desired/created/ready replicas: 50000/46388/46388 
12:29:32 desired/created/ready replicas: 50000/46288/46288 
12:29:33 desired/created/ready replicas: 50000/46268/46268 
12:29:34 desired/created/ready replicas: 50000/46207/46207 
12:29:35 desired/created/ready replicas: 50000/46144/46144 
12:29:36 desired/created/ready replicas: 50000/46087/46087 
12:29:37 desired/created/ready replicas: 50000/46018/46018 
12:29:38 desired/created/ready replicas: 50000/45961/45961 
12:29:39 desired/created/ready replicas: 50000/45885/45885 
12:29:40 desired/created/ready replicas: 50000/45825/45825 
12:29:41 desired/created/ready replicas: 50000/45765/45765 
12:29:42 desired/created/ready replicas: 50000/45685/45685 
12:29:43 desired/created/ready replicas: 50000/45605/45605 
12:29:44 desired/created/ready replicas: 50000/45549/45549 
12:29:45 desired/created/ready replicas: 50000/45485/45485 
12:29:46 desired/created/ready replicas: 50000/45447/45447 
12:29:47 desired/created/ready replicas: 50000/45445/45445 
12:29:48 desired/created/ready replicas: 50000/45395/45395 
12:29:49 desired/created/ready replicas: 50000/45324/45324 
12:29:50 desired/created/ready replicas: 50000/45295/45295 
12:29:51 desired/created/ready replicas: 50000/45244/45244 
12:29:52 desired/created/ready replicas: 50000/45184/45184 
12:29:53 desired/created/ready replicas: 50000/45132/45132 
12:29:54 desired/created/ready replicas: 50000/45072/45072 
12:29:55 desired/created/ready replicas: 50000/44997/44997 
12:29:56 desired/created/ready replicas: 50000/44962/44962 
12:29:57 desired/created/ready replicas: 50000/44890/44890 
12:29:58 desired/created/ready replicas: 50000/44830/44830 
12:29:59 desired/created/ready replicas: 50000/44771/44771 
12:30:0 desired/created/ready replicas: 50000/44697/44697 
12:30:1 desired/created/ready replicas: 50000/44640/44640 
12:30:2 desired/created/ready replicas: 50000/44570/44570 
12:30:3 desired/created/ready replicas: 50000/44500/44500 
12:30:4 desired/created/ready replicas: 50000/44440/44440 
12:30:5 desired/created/ready replicas: 50000/44420/44420 
12:30:6 desired/created/ready replicas: 50000/44310/44310 
12:30:7 desired/created/ready replicas: 50000/44253/44253 
12:30:8 desired/created/ready replicas: 50000/44206/44206 
12:30:9 desired/created/ready replicas: 50000/44133/44133 
12:30:10 desired/created/ready replicas: 50000/44076/44076 
12:30:11 desired/created/ready replicas: 50000/44007/44007 
12:30:12 desired/created/ready replicas: 50000/43922/43922 
12:30:13 desired/created/ready replicas: 50000/43862/43862 
12:30:14 desired/created/ready replicas: 50000/43798/43798 
12:30:15 desired/created/ready replicas: 50000/43742/43742 
12:30:16 desired/created/ready replicas: 50000/43695/43695 
12:30:17 desired/created/ready replicas: 50000/43628/43628 
12:30:18 desired/created/ready replicas: 50000/43562/43562 
12:30:19 desired/created/ready replicas: 50000/43499/43499 
12:30:20 desired/created/ready replicas: 50000/43438/43438 
12:30:21 desired/created/ready replicas: 50000/43377/43377 
12:30:22 desired/created/ready replicas: 50000/43299/43299 
12:30:23 desired/created/ready replicas: 50000/43240/43240 
12:30:24 desired/created/ready replicas: 50000/43215/43215 
12:30:25 desired/created/ready replicas: 50000/43139/43139 
12:30:26 desired/created/ready replicas: 50000/43079/43079 
12:30:27 desired/created/ready replicas: 50000/43052/43052 
12:30:28 desired/created/ready replicas: 50000/42996/42996 
12:30:29 desired/created/ready replicas: 50000/42923/42923 
12:30:30 desired/created/ready replicas: 50000/42858/42858 
12:30:31 desired/created/ready replicas: 50000/42787/42787 
12:30:32 desired/created/ready replicas: 50000/42717/42717 
12:30:33 desired/created/ready replicas: 50000/42659/42659 
12:30:34 desired/created/ready replicas: 50000/42594/42594 
12:30:35 desired/created/ready replicas: 50000/42527/42527 
12:30:36 desired/created/ready replicas: 50000/42479/42479 
12:30:37 desired/created/ready replicas: 50000/42399/42399 
12:30:38 desired/created/ready replicas: 50000/42337/42337 
12:30:39 desired/created/ready replicas: 50000/42314/42314 
12:30:40 desired/created/ready replicas: 50000/42254/42254 
12:30:41 desired/created/ready replicas: 50000/42174/42174 
12:30:42 desired/created/ready replicas: 50000/42134/42134 
12:30:43 desired/created/ready replicas: 50000/42042/42042 
12:30:44 desired/created/ready replicas: 50000/41982/41982 
12:30:45 desired/created/ready replicas: 50000/41922/41922 
12:30:46 desired/created/ready replicas: 50000/41854/41854 
12:30:47 desired/created/ready replicas: 50000/41814/41814 
12:30:48 desired/created/ready replicas: 50000/41734/41734 
12:30:49 desired/created/ready replicas: 50000/41662/41662 
12:30:50 desired/created/ready replicas: 50000/41597/41597 
12:30:51 desired/created/ready replicas: 50000/41554/41554 
12:30:52 desired/created/ready replicas: 50000/41458/41458 
12:30:53 desired/created/ready replicas: 50000/41438/41438 
12:30:54 desired/created/ready replicas: 50000/41368/41368 
12:30:55 desired/created/ready replicas: 50000/41308/41308 
